match_id,date,matchday,season,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,elo_diff,home_position,away_position,home_aproveitamento,away_aproveitamento,home_table_gd,away_table_gd,position_diff,home_form_pts,home_avg_gf,home_avg_ga,home_goal_diff,home_win_rate,home_draw_rate,home_home_form,away_form_pts,away_avg_gf,away_avg_ga,away_goal_diff,away_win_rate,away_draw_rate,away_away_form,home_form_pts_10,home_avg_gf_10,home_avg_ga_10,home_win_rate_10,away_form_pts_10,away_avg_gf_10,away_avg_ga_10,away_win_rate_10,h2h_home_wins,h2h_away_wins,h2h_draws,home_market_value_log,home_market_value_norm,home_squad_size,away_market_value_log,away_market_value_norm,away_squad_size,market_value_diff,odd_h,odd_d,odd_a,prob_h_mkt,prob_d_mkt,prob_a_mkt,odds_draw_factor,odds_home_away_ratio,market_entropy
50994,2003-04-05,2,2003,Fluminense FC,Fortaleza EC,1.0,1.0,D,1484.0,1500.0,-16.0,23,19,0.0,0.3333333333333333,-2.0,0.0,-4,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,4.7094,0.4916,105,3.0,0.3,25,1.7093999999999996,,,,,,,,,
50835,2003-04-06,2,2003,Paraná Clube,CA Paranaense,3.0,0.0,H,1500.0,1516.0,-16.0,15,3,0.3333333333333333,1.0,0.0,2.0,-12,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0,0,0,3.0,0.3,25,3.7192,0.1798,90,-0.7191999999999998,,,,,,,,,
51232,2003-04-06,2,2003,CR Vasco da Gama,Goiás EC,6.0,4.0,H,1484.0,1500.0,-16.0,23,10,0.0,0.3333333333333333,-2.0,0.0,-13,0.0,2.0,4.0,-2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,0,0,0,4.6082,0.4439,84,3.0,0.3,25,1.6082,,,,,,,,,
51101,2003-04-06,2,2003,Ponte Preta,Juventude,1.0,0.0,H,1500.0,1500.0,0.0,19,14,0.3333333333333333,0.3333333333333333,0.0,0.0,-5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
51093,2003-04-06,2,2003,Paysandu SC,EC Vitória,1.0,2.0,A,1500.0,1500.0,0.0,12,16,0.3333333333333333,0.3333333333333333,0.0,0.0,4,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0,0,0,3.0,0.3,25,3.6584,0.169,108,-0.6583999999999999,,,,,,,,,
50885,2003-04-06,2,2003,EC Bahia,CR Flamengo,1.0,2.0,A,1500.0,1500.0,0.0,18,17,0.3333333333333333,0.3333333333333333,0.0,0.0,-1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,4.6681,0.4716,87,5.4148,1.0,174,-0.7466999999999997,,,,,,,,,
51024,2003-04-06,2,2003,São Paulo FC,Cruzeiro EC,2.0,4.0,A,1500.0,1500.0,0.0,16,14,0.3333333333333333,0.3333333333333333,0.0,0.0,-2,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0,0,0,4.3926,0.357,117,5.061,0.7007,102,-0.6684000000000001,,,,,,,,,
51192,2003-04-06,2,2003,São Caetano,Criciúma EC,3.0,2.0,H,1500.0,1516.0,-16.0,15,8,0.3333333333333333,1.0,0.0,2.0,-7,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
51252,2003-04-06,2,2003,Figueirense FC,SC Corinthians Paulista,3.0,3.0,D,1500.0,1484.0,16.0,16,24,0.3333333333333333,0.0,0.0,-3.0,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,3.0,0.3,25,4.7783,0.527,102,-1.7782999999999998,,,,,,,,,
51090,2003-04-10,4,2003,Paysandu SC,Santos FC,2.0,1.0,H,1484.0,1500.736306793522,-16.73630679352209,17,15,0.1666666666666666,0.3333333333333333,-1.0,0.0,-2,0.5,1.5,2.0,-0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.5,2.0,0.0,1.0,1.0,1.0,0.0,0,0,0,3.0,0.3,25,4.5364,0.4128,102,-1.5364000000000004,,,,,,,,,
51196,2003-04-12,3,2003,SC Internacional,EC Bahia,2.0,0.0,H,1516.0,1484.0,32.0,7,19,0.6666666666666666,0.1666666666666666,1.0,-1.0,12,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-0.5,0.0,0.5,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0,0,0,4.302,0.3257,156,4.6681,0.4716,87,-0.3661000000000003,,,,,,,,,
50968,2003-04-12,3,2003,Santos FC,Figueirense FC,2.0,0.0,H,1483.9661669788793,1499.263693206478,-15.29752622759861,17,15,0.2222222222222222,0.3333333333333333,-1.0,0.0,-2,0.6666666666666666,1.0,1.3333333333333333,-0.3333333333333332,0.0,0.6666666666666666,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,0.0,1.0,2.0,2.0,0.0,0,0,0,4.5364,0.4128,102,3.0,0.3,25,1.5364000000000004,,,,,,,,,
51151,2003-04-12,3,2003,CA Paranaense,CA Mineiro,1.0,2.0,A,1499.263693206478,1515.263693206478,-16.0,15,4,0.5,0.6666666666666666,-1.0,3.0,-11,1.5,1.0,1.5,-0.5,0.5,0.0,3.0,2.0,1.5,0.0,1.5,0.5,0.5,3.0,1.5,1.0,1.5,0.5,2.0,1.5,0.0,0.5,0,0,0,3.7192,0.1798,90,4.4802,0.39,105,-0.7610000000000001,,,,,,,,,
51034,2003-04-12,3,2003,SC Corinthians Paulista,Paysandu SC,6.0,1.0,H,1484.736306793522,1500.7701398146428,-16.0338330211207,23,10,0.1666666666666666,0.4444444444444444,-3.0,0.0,-13,0.5,1.5,3.0,-1.5,0.0,0.5,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.5,3.0,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,0,0,0,4.7783,0.527,102,3.0,0.3,25,1.7782999999999998,,,,,,,,,
50954,2003-04-13,3,2003,Juventude,Coritiba FBC,2.0,1.0,H,1484.0,1484.0,0.0,19,20,0.1666666666666666,0.1666666666666666,-1.0,-1.0,1,0.5,1.0,1.5,-0.5,0.0,0.5,1.0,0.5,0.5,1.0,-0.5,0.0,0.5,1.0,0.5,1.0,1.5,0.0,0.5,0.5,1.0,0.0,0,0,0,3.0,0.3,25,3.4388,0.1348,96,-0.4388000000000001,,,,,,,,,
50854,2003-04-13,3,2003,Cruzeiro EC,Ponte Preta,3.0,0.0,H,1516.0,1516.0,0.0,6,10,0.6666666666666666,0.6666666666666666,2.0,1.0,4,2.0,3.0,2.0,1.0,0.5,0.5,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,2.0,3.0,2.0,0.5,2.0,1.0,0.5,0.5,0,0,0,5.061,0.7007,102,3.0,0.3,25,2.061,,,,,,,,,
50934,2003-04-13,3,2003,Goiás EC,Grêmio FBPA,1.0,1.0,D,1483.263693206478,1501.4695015289756,-18.20580832249766,20,16,0.1666666666666666,0.5,-2.0,0.0,-4,0.5,3.0,4.0,-1.0,0.0,0.5,1.0,1.5,1.5,1.5,0.0,0.5,0.0,0.0,0.5,3.0,4.0,0.0,1.5,1.5,1.5,0.5,0,0,0,3.0,0.3,25,4.4468,0.3771,99,-1.4467999999999996,,,,,,,,,
51169,2003-04-13,3,2003,Criciúma EC,São Paulo FC,1.0,1.0,D,1499.263693206478,1484.0,15.26369320647791,14,21,0.5,0.1666666666666666,1.0,-2.0,7,1.5,2.0,1.5,0.5,0.5,0.0,3.0,0.5,2.0,3.0,-1.0,0.0,0.5,1.0,1.5,2.0,1.5,0.5,0.5,2.0,3.0,0.0,0,0,0,3.0,0.3,25,4.3926,0.357,117,-1.3925999999999998,,,,,,,,,
50918,2003-04-13,3,2003,Fortaleza EC,São Caetano,1.0,1.0,D,1499.263693206478,1516.736306793522,-17.47261358704418,18,7,0.3333333333333333,0.6666666666666666,0.0,1.0,-11,1.0,0.5,0.5,0.0,0.0,1.0,1.0,2.0,2.5,2.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,2.0,2.5,2.0,0.5,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
51069,2003-04-13,3,2003,EC Vitória,CR Vasco da Gama,2.0,1.0,H,1516.0,1500.736306793522,15.26369320647791,9,15,0.6666666666666666,0.5,1.0,0.0,6,2.0,1.5,1.0,0.5,0.5,0.5,1.0,1.5,4.0,4.0,0.0,0.5,0.0,0.0,2.0,1.5,1.0,0.5,1.5,4.0,4.0,0.5,0,0,0,3.6584,0.169,108,4.6082,0.4439,84,-0.9498000000000002,,,,,,,,,
50816,2003-04-13,3,2003,Guarani FC,Paraná Clube,2.0,0.0,H,1498.5304984710244,1516.736306793522,-18.20580832249766,15,7,0.5,0.6666666666666666,0.0,3.0,-8,1.5,2.5,2.5,0.0,0.5,0.0,3.0,2.0,2.5,1.0,1.5,0.5,0.5,1.0,1.5,2.5,2.5,0.5,2.0,2.5,1.0,0.5,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
50898,2003-04-13,3,2003,CR Flamengo,Fluminense FC,4.0,1.0,H,1516.0,1484.736306793522,31.26369320647791,11,23,0.6666666666666666,0.1666666666666666,1.0,-2.0,12,2.0,1.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.5,-1.0,0.0,0.5,0.0,2.0,1.5,1.0,0.5,0.5,0.5,1.5,0.0,0,0,0,5.4148,1.0,174,4.7094,0.4916,105,0.7054,,,,,,,,,
51131,2003-04-17,4,2003,CA Mineiro,Guarani FC,3.0,2.0,H,1530.5273864129558,1515.3681403982832,15.15924601467259,3,6,0.7777777777777778,0.6666666666666666,4.0,2.0,3,2.333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333337,0.6666666666666666,0.3333333333333333,1.0,2.0,2.333333333333333,1.6666666666666667,0.6666666666666667,0.6666666666666666,0.0,0.0,2.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,2.0,2.333333333333333,1.6666666666666667,0.6666666666666666,0,0,0,4.4802,0.39,105,3.0,0.3,25,1.4802,,,,,,,,,
51227,2003-04-17,4,2003,CR Vasco da Gama,SC Corinthians Paulista,2.0,2.0,D,1485.4387739660467,1501.474168348652,-16.03539438260532,17,9,0.3333333333333333,0.4444444444444444,-1.0,2.0,-8,1.0,3.0,3.333333333333333,-0.3333333333333335,0.3333333333333333,0.0,3.0,1.3333333333333333,3.0,2.333333333333333,0.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,1.0,3.0,3.333333333333333,0.3333333333333333,1.3333333333333333,3.0,2.333333333333333,0.3333333333333333,0,0,0,4.6082,0.4439,84,4.7783,0.527,102,-0.1700999999999997,,,,,,,,,
51106,2003-04-17,4,2003,Ponte Preta,Criciúma EC,1.0,1.0,D,1500.0,1498.5612260339533,1.4387739660467105,15,10,0.4444444444444444,0.4444444444444444,-2.0,1.0,-5,1.3333333333333333,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
50803,2003-04-17,4,2003,Grêmio FBPA,EC Vitória,2.0,1.0,H,1500.6318596017168,1531.2975328274754,-30.66567322575861,13,5,0.4444444444444444,0.7777777777777778,0.0,2.0,-8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.0,2.333333333333333,1.6666666666666667,1.0,0.6666666666666667,0.6666666666666666,0.3333333333333333,3.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.333333333333333,1.6666666666666667,1.0,0.6666666666666666,0,0,0,4.4468,0.3771,99,3.6584,0.169,108,0.7883999999999998,,,,,,,,,
50880,2003-04-17,4,2003,EC Bahia,Juventude,3.0,1.0,H,1469.4695015289756,1500.0,-30.53049847102443,23,14,0.1111111111111111,0.4444444444444444,-3.0,0.0,-9,0.3333333333333333,0.3333333333333333,1.3333333333333333,-1.0,0.0,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0,0,0,4.6681,0.4716,87,3.0,0.3,25,1.6681,,,,,,,,,
51241,2003-04-17,4,2003,Figueirense FC,CA Paranaense,1.0,1.0,D,1482.559670975704,1484.0,-1.4403290242960338,22,19,0.2222222222222222,0.3333333333333333,-2.0,-2.0,-3,0.6666666666666666,1.3333333333333333,2.0,-0.6666666666666667,0.0,0.6666666666666666,1.0,1.0,1.0,1.6666666666666667,-0.6666666666666667,0.3333333333333333,0.0,0.0,0.6666666666666666,1.3333333333333333,2.0,0.0,1.0,1.0,1.6666666666666667,0.3333333333333333,0,0,0,3.0,0.3,25,3.7192,0.1798,90,-0.7191999999999998,,,,,,,,,
51188,2003-04-17,4,2003,São Caetano,CR Flamengo,1.0,1.0,D,1515.93234085952,1530.5641271217237,-14.631786262203832,9,3,0.5555555555555556,0.7777777777777778,1.0,4.0,-6,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333332,0.3333333333333333,0.6666666666666666,3.0,2.333333333333333,2.333333333333333,1.0,1.3333333333333337,0.6666666666666666,0.3333333333333333,3.0,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333333,2.333333333333333,2.333333333333333,1.0,0.6666666666666666,0,0,0,3.0,0.3,25,5.4148,1.0,174,-2.4148,,,,,,,,,
51062,2003-04-17,4,2003,Coritiba FBC,Cruzeiro EC,3.0,4.0,A,1468.0,1532.0,-64.0,23,3,0.1111111111111111,0.7777777777777778,-2.0,5.0,-20,0.3333333333333333,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,0.0,2.333333333333333,3.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,2.333333333333333,3.0,1.3333333333333333,0.6666666666666666,0,0,0,3.4388,0.1348,96,5.061,0.7007,102,-1.6222,,,,,,,,,
50995,2003-04-18,4,2003,Fluminense FC,SC Internacional,3.0,1.0,H,1470.1721796717984,1530.5304984710244,-60.358318799226026,24,4,0.1111111111111111,0.7777777777777778,-5.0,3.0,-20,0.3333333333333333,0.6666666666666666,2.333333333333333,-1.666666666666667,0.0,0.3333333333333333,1.0,2.333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,0.6666666666666666,2.333333333333333,0.0,2.333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0,0,0,4.7094,0.4916,105,4.302,0.3257,156,0.4074,,,,,,,,,
50839,2003-04-18,4,2003,Paraná Clube,Goiás EC,3.0,1.0,H,1499.8986648662635,1484.1013351337365,15.797329732527032,13,22,0.4444444444444444,0.2222222222222222,1.0,-2.0,9,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,2.333333333333333,3.0,-0.6666666666666665,0.0,0.6666666666666666,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.333333333333333,3.0,0.0,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
51012,2003-04-18,4,2003,São Paulo FC,Fortaleza EC,3.0,1.0,H,1484.7024671725246,1500.06765914048,-15.365191967955525,22,20,0.2222222222222222,0.3333333333333333,-2.0,0.0,-2,0.6666666666666666,1.6666666666666667,2.333333333333333,-0.6666666666666667,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,1.6666666666666667,2.333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0,0,0,4.3926,0.357,117,3.0,0.3,25,1.3925999999999998,,,,,,,,,
50892,2003-04-19,12,2003,CR Flamengo,Cruzeiro EC,3.0,0.0,H,1529.8907065335045,1545.0855809179218,-15.19487438441729,3,1,0.6666666666666666,0.8333333333333334,4.0,6.0,-2,2.0,2.0,1.0,1.0,0.5,0.5,2.0,2.5,3.25,1.75,1.5,0.75,0.25,3.0,2.0,2.0,1.0,0.5,2.5,3.25,1.75,0.75,0,0,0,5.4148,1.0,174,5.061,0.7007,102,0.3537999999999996,,,,,,,,,
50890,2003-04-19,5,2003,EC Bahia,CA Mineiro,2.0,4.0,A,1486.8718751773815,1545.82972000299,-58.95784482560839,16,2,0.3333333333333333,0.8333333333333334,-1.0,5.0,-14,1.0,1.0,1.25,-0.25,0.25,0.25,1.5,2.5,2.0,0.75,1.25,0.75,0.25,3.0,1.0,1.0,1.25,0.25,2.5,2.0,0.75,0.75,0,0,0,4.6681,0.4716,87,4.4802,0.39,105,0.1878999999999999,,,,,,,,,
51189,2003-04-19,5,2003,São Caetano,Grêmio FBPA,1.0,1.0,D,1516.605761447739,1518.0404102445575,-1.434648796818692,9,5,0.5,0.5833333333333334,1.0,1.0,-4,1.5,1.75,1.5,0.25,0.25,0.75,2.0,1.75,1.5,1.25,0.25,0.5,0.25,0.5,1.5,1.75,1.5,0.25,1.75,1.5,1.25,0.5,0,0,0,3.0,0.3,25,4.4468,0.3771,99,-1.4467999999999996,,,,,,,,,
50907,2003-04-19,5,2003,CR Flamengo,Santos FC,0.0,2.0,A,1546.590010563615,1500.6701892096532,45.91982135396165,2,12,0.7333333333333333,0.4166666666666667,7.0,1.0,10,2.2,2.2,0.8,1.4,0.6,0.4,2.333333333333333,1.25,1.25,1.0,0.25,0.25,0.5,0.5,2.2,2.2,0.8,0.6,1.25,1.25,1.0,0.25,0,0,0,5.4148,1.0,174,4.5364,0.4128,102,0.8783999999999992,,,,,,,,,
51118,2003-04-20,5,2003,Ponte Preta,Paysandu SC,4.0,4.0,D,1499.9337423890202,1484.0322782595129,15.901464129507303,14,20,0.4166666666666667,0.3333333333333333,-2.0,-5.0,6,1.25,0.75,1.25,-0.5,0.25,0.5,2.0,1.0,1.5,2.75,-1.25,0.25,0.25,0.5,1.25,0.75,1.25,0.25,1.0,1.5,2.75,0.25,0,0,0,3.0,0.3,25,3.0,0.3,25,0.0,,,,,,,,,
50987,2003-04-20,5,2003,Fluminense FC,Paraná Clube,0.0,0.0,D,1488.9241532532749,1515.171671866689,-26.24751861341406,20,6,0.3333333333333333,0.5833333333333334,-3.0,3.0,-14,1.0,1.25,2.0,-0.75,0.25,0.25,2.0,1.75,2.0,1.25,0.75,0.5,0.25,0.5,1.0,1.25,2.0,0.25,1.75,2.0,1.25,0.5,0,0,0,4.7094,0.4916,105,3.0,0.3,25,1.7093999999999996,,,,,,,,,
